,gene_ids
0,FAM87B
1,PERM1
2,AL645608.1
3,LINC01342
4,TNFRSF18
5,TNFRSF4
6,C1QTNF12
7,AL391244.2
8,AL513320.1
9,LINC01134
10,AJAP1
11,AL365255.1
12,AL359881.2
13,TNFRSF9
14,SLC45A1
15,RERE
16,AL357552.2
17,SLC2A7
18,RBP7
19,AL139424.2
20,EXOSC10-AS1
21,TNFRSF8
22,KAZN
23,AL031283.2
24,SLC25A34-AS1
25,TMEM82
26,PADI6
27,ARHGEF10L
28,AL031727.2
29,EIF4G3
30,C1QB
31,LUZP1
32,ZNF436-AS1
33,AL109936.2
34,AL450043.1
35,CNR2
36,NCMAP
37,CLIC4
38,AL445471.2
39,MAN1C1
40,AL391650.1
41,ZNF683
42,AL020997.5
43,AL020997.2
44,AL512288.1
45,RAB42
46,AL354919.1
47,KIAA1522
48,HPCA
49,AL662907.3
50,OSCP1
51,CSF3R
52,MIR3659HG
53,AL139260.1
54,MACF1
55,AC119677.1
56,SCMH1
57,AC093151.8
58,HIVEP3
59,ZMYND12
60,CCDC30
61,AL139289.1
62,HYI-AS1
63,PTPRF
64,ST3GAL3
65,KIF2C
66,ZSWIM5
67,TESK2
68,MAST2
69,TEX38
70,AL109659.1
71,SLC5A9
72,SPATA6
73,AGBL4
74,AL645507.1
75,AC104170.1
76,ZFYVE9
77,GLIS1
78,LDLRAD1
79,MROH7
80,AC096536.3
81,AL603840.1
82,PRKAA2
83,DAB1
84,AL035411.3
85,LINC01135
86,FGGY
87,AL035416.1
88,NFIA
89,DOCK7
90,ATG4C
91,ITGB3BP
92,ROR1
93,ROR1-AS1
94,CACHD1
95,DNAJC6
96,LEPR
97,PDE4B
98,SGIP1
99,WDR78
100,SLC35D1
101,IL23R
102,IL12RB2
103,LRRC7
104,CTH
105,AL354872.2
106,PTGER3
107,ZRANB2-AS2
108,NEGR1
109,AL513166.1
110,AL583808.1
111,LRRIQ3
112,FPGT
113,TNNI3K
114,MSH4
115,AC092813.1
116,ST6GALNAC3
117,ST6GALNAC5
118,PIGK
119,AC093433.2
120,AK5
121,GIPC2
122,IFI44L
123,IFI44
124,LINC02792
125,ADGRL2
126,AL157944.1
127,LINC01362
128,LINC01361
129,AC116099.1
130,LINC01725
131,PRKACB
132,LINC01555
133,MCOLN2
134,WDR63
135,AL078459.1
136,COL24A1
137,LINC02795
138,CLCA4-AS1
139,AL049597.2
140,HS2ST1
141,LINC01140
142,PKN2-AS1
143,AC104459.1
144,GBP4
145,GBP5
146,AL596214.1
147,LRRC8D
148,LINC02609
149,TGFBR3
150,BTBD8
151,EVI5
152,DIPK1A
153,CCDC18
154,CCDC18-AS1
155,FNBP1L
156,BCAR3
157,AL049796.1
158,ARHGAP29
159,ARHGAP29-AS1
160,AC118469.2
161,ALG14
162,AC092802.1
163,DPYD
164,SNX7
165,LINC01708
166,CDC14A
167,LINC01349
168,VCAM1
